topic,feature,value
0,artist256,-0.0905630923564
0,artist255,-0.029669298271
0,artist254,-0.0845847068005
0,location207,-0.036196081388
0,location204,0.0376915422116
0,location205,-0.278404904396
0,location202,0.00412674183328
0,location203,-0.0147156400294
0,location200,0.0531488777428
0,location201,0.123411985474
0,location208,-0.0890224328904
0,location209,-0.0121534976279
0,artist1543,-0.0167018219415
0,artist328,-0.0124796734638
0,artist327,-0.00726070188411
0,artist326,0.00786961515656
0,artist325,-0.00809462507759
0,artist324,-0.122210341688
0,artist323,0.056844699723
0,artist322,0.107406332354
0,artist321,-0.0251417540975
0,artist320,0.0993977102904
0,location378,-0.0067601904156
0,location379,0.0331379011768
0,location372,-0.0473340278828
0,location373,0.018226426617
0,location370,0.0136499410061
0,location371,-0.0741553807364
0,location377,-0.0426595482105
0,location374,0.0323022464734
0,location375,-0.134095725451
0,artist1435,0.00458946288958
0,location158,-0.0316103703022
0,location159,0.119596340335
0,location156,-0.106911972664
0,location157,0.0118497609839
0,location154,0.00680650986762
0,location155,0.0175228314805
0,location152,-0.0936677251161
0,location153,0.234819531781
0,location150,0.160632024566
0,location151,-0.0262812848245
0,artist891,0.0176289368749
0,artist890,-0.139117778094
0,artist892,-0.01974456685
0,artist895,0.0677376666577
0,artist894,-0.0192192054826
0,artist897,-0.072492645643
0,artist896,0.0110486732414
0,artist899,-0.0895591637951
0,artist898,0.00430278964754
0,year,-0.495551682859
0,location550,-0.00498033064669
0,artist1523,-0.0130661489873
0,artist1522,-0.0361248398889
0,artist1520,-0.0501318447594
0,artist1208,0.0096377128045
0,artist1209,0.00397683308741
0,artist1206,0.00616057109793
0,artist1207,-0.0228839841367
0,artist1205,-0.0263837861589
0,artist1202,-0.0244068185052
0,artist1200,-0.0386449976059
0,artist1201,0.0570299151426
0,artist1525,0.00670695990692
0,artist415,-0.0189203520477
0,artist88,-0.0269234185098
0,artist417,-0.0301074005878
0,artist416,-0.119260698522
0,artist410,0.00565368393891
